service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6,0,0,0,0,0,1,0,20180903,20181020
1,0,0,1,0,0,0,0,20180903,20181020
5,0,0,1,0,0,1,0,20180903,20181020
2,1,1,0,1,1,0,0,20180903,20181020
3,1,1,1,1,1,0,0,20180903,20181020
4,1,1,1,1,1,1,0,20180903,20181020
7,1,1,1,1,1,1,1,20180903,20180930
15,0,0,0,0,0,0,1,20180822,20180830
13,0,0,0,0,0,1,0,20180822,20180830
16,1,1,1,1,1,0,0,20180822,20180830
12,1,1,1,1,1,1,0,20180822,20180830
14,1,1,1,1,1,1,1,20180822,20180830
9,0,0,0,0,0,1,0,20180831,20180902
11,1,1,1,1,1,0,0,20180831,20180902
8,1,1,1,1,1,1,0,20180831,20180902
10,1,1,1,1,1,1,1,20180831,20180902
