trip_id,arrival_time,departure_time,stop_id,stop_sequence,route_id
1,06:57:00,06:57:00,568,1,128
1,06:58:00,06:58:00,566,2,128
1,06:59:00,06:59:00,564,3,128
1,07:00:00,07:00:00,560,4,128
1,07:02:00,07:02:00,158,5,128
1,07:05:00,07:05:00,562,6,128
1,07:08:00,07:08:00,403,7,128
1,07:09:00,07:09:00,405,8,128
1,07:12:00,07:12:00,1267,9,128
1,07:16:00,07:16:00,413,10,128
1,07:17:00,07:17:00,163,11,128
1,07:18:00,07:18:00,529,12,128
1,07:19:00,07:19:00,526,13,128
1,07:22:00,07:22:00,465,14,128
1,07:31:00,07:31:00,444,15,128
1,07:36:00,07:36:00,109,16,128
1,07:45:00,07:45:00,709,17,128
1,07:47:00,07:47:00,711,18,128
2,07:03:00,07:03:00,2385,1,188
2,07:05:00,07:05:00,2316,2,188
2,07:09:00,07:09:00,2424,3,188
2,07:16:00,07:16:00,2338,4,188
2,07:20:00,07:20:00,2430,5,188
2,07:24:00,07:24:00,2340,6,188
2,07:29:00,07:29:00,2409,7,188
2,07:34:00,07:34:00,2650,8,188
2,07:35:00,07:35:00,2595,9,188
2,07:40:00,07:40:00,2327,10,188
3,07:04:00,07:04:00,568,1,34
3,07:05:00,07:05:00,566,2,34
3,07:06:00,07:06:00,564,3,34
3,07:08:00,07:08:00,560,4,34
3,07:10:00,07:10:00,158,5,34
3,07:15:00,07:15:00,562,6,34
3,07:16:00,07:16:00,403,7,34
3,07:17:00,07:17:00,405,8,34
3,07:18:00,07:18:00,1267,9,34
3,07:19:00,07:19:00,413,10,34
3,07:21:00,07:21:00,163,11,34
3,07:22:00,07:22:00,529,12,34
3,07:23:00,07:23:00,526,13,34
3,07:27:00,07:27:00,451,14,34
3,07:30:00,07:30:00,444,15,34
3,07:32:00,07:32:00,438,16,34
3,07:34:00,07:34:00,447,17,34
3,07:36:00,07:36:00,442,18,34
3,07:37:00,07:37:00,448,19,34
3,07:43:00,07:43:00,124,20,34
3,07:44:00,07:44:00,845,21,34
3,07:45:00,07:45:00,690,22,34
3,07:46:00,07:46:00,684,23,34
3,07:48:00,07:48:00,209,24,34
3,07:49:00,07:49:00,208,25,34
3,07:51:00,07:51:00,275,26,34
3,07:51:00,07:51:00,1259,27,34
3,07:55:00,07:55:00,221,28,34
3,07:57:00,07:57:00,52,29,34
3,07:58:00,07:58:00,222,30,34
3,08:00:00,08:00:00,1247,31,34
4,07:04:00,07:04:00,568,1,34
4,07:05:00,07:05:00,566,2,34
4,07:06:00,07:06:00,564,3,34
4,07:08:00,07:08:00,560,4,34
4,07:10:00,07:10:00,158,5,34
4,07:15:00,07:15:00,562,6,34
4,07:16:00,07:16:00,403,7,34
4,07:17:00,07:17:00,405,8,34
4,07:18:00,07:18:00,1267,9,34
4,07:19:00,07:19:00,413,10,34
4,07:21:00,07:21:00,163,11,34
4,07:22:00,07:22:00,529,12,34
4,07:23:00,07:23:00,526,13,34
4,07:27:00,07:27:00,451,14,34
4,07:30:00,07:30:00,444,15,34
4,07:32:00,07:32:00,438,16,34
4,07:34:00,07:34:00,447,17,34
4,07:36:00,07:36:00,442,18,34
4,07:37:00,07:37:00,448,19,34
4,07:43:00,07:43:00,124,20,34
4,07:44:00,07:44:00,845,21,34
4,07:45:00,07:45:00,690,22,34
4,07:46:00,07:46:00,684,23,34
4,07:48:00,07:48:00,209,24,34
4,07:49:00,07:49:00,208,25,34
4,07:51:00,07:51:00,275,26,34
4,07:51:00,07:51:00,1259,27,34
4,07:55:00,07:55:00,221,28,34
4,07:58:00,07:58:00,222,29,34
4,08:00:00,08:00:00,1247,30,34
5,07:08:00,07:08:00,2658,1,32
5,07:10:00,07:10:00,251,2,32
5,07:13:00,07:13:00,250,3,32
5,07:14:00,07:14:00,333,4,32
5,07:16:00,07:16:00,299,5,32
5,07:16:00,07:16:00,300,6,32
5,07:17:00,07:17:00,301,7,32
5,07:17:00,07:17:00,245,8,32
5,07:19:00,07:19:00,302,9,32
5,07:19:00,07:19:00,303,10,32
5,07:22:00,07:22:00,304,11,32
5,07:22:00,07:22:00,305,12,32
5,07:23:00,07:23:00,306,13,32
5,07:25:00,07:25:00,307,14,32
5,07:25:00,07:25:00,103,15,32
5,07:26:00,07:26:00,309,16,32
5,07:27:00,07:27:00,310,17,32
5,07:28:00,07:28:00,311,18,32
5,07:29:00,07:29:00,96,19,32
5,07:30:00,07:30:00,312,20,32
5,07:31:00,07:31:00,313,21,32
5,07:33:00,07:33:00,89,22,32
6,07:10:00,07:10:00,17,1,41
6,07:11:00,07:11:00,407,2,41
6,07:12:00,07:12:00,159,3,41
6,07:17:00,07:17:00,594,4,41
6,07:20:00,07:20:00,156,5,41
6,07:21:00,07:21:00,603,6,41
6,07:22:00,07:22:00,581,7,41
6,07:26:00,07:26:00,153,8,41
6,07:31:00,07:31:00,780,9,41
6,07:33:00,07:33:00,768,10,41
6,07:34:00,07:34:00,795,11,41
6,07:35:00,07:35:00,316,12,41
6,07:36:00,07:36:00,166,13,41
6,07:40:00,07:40:00,775,14,41
6,07:41:00,07:41:00,787,15,41
6,07:42:00,07:42:00,840,16,41
6,07:43:00,07:43:00,835,17,41
6,07:44:00,07:44:00,847,18,41
6,07:45:00,07:45:00,837,19,41
6,07:47:00,07:47:00,327,20,41
6,07:49:00,07:49:00,56,21,41
6,07:50:00,07:50:00,211,22,41
6,07:52:00,07:52:00,380,23,41
6,07:53:00,07:53:00,381,24,41
6,08:03:00,08:03:00,53,25,41
7,07:10:00,07:10:00,2243,1,190
7,07:12:00,07:12:00,852,2,190
7,07:14:00,07:14:00,2245,3,190
7,07:18:00,07:18:00,2250,4,190
7,07:20:00,07:20:00,2252,5,190
7,07:24:00,07:24:00,2503,6,190
7,07:26:00,07:26:00,2501,7,190
7,07:29:00,07:29:00,574,8,190
7,07:30:00,07:30:00,572,9,190
7,07:32:00,07:32:00,2490,10,190
7,07:34:00,07:34:00,709,11,190
7,07:40:00,07:40:00,2327,12,190
8,07:13:00,07:13:00,538,1,48
8,07:16:00,07:16:00,545,2,48
8,07:21:00,07:21:00,28,3,48
8,07:23:00,07:23:00,495,4,48
8,07:26:00,07:26:00,492,5,48
8,07:27:00,07:27:00,385,6,48
8,07:28:00,07:28:00,395,7,48
8,07:29:00,07:29:00,383,8,48
8,07:32:00,07:32:00,390,9,48
8,07:33:00,07:33:00,137,10,48
8,07:36:00,07:36:00,720,11,48
8,07:41:00,07:41:00,631,12,48
8,07:42:00,07:42:00,635,13,48
8,07:44:00,07:44:00,627,14,48
8,07:45:00,07:45:00,622,15,48
8,07:51:00,07:51:00,748,16,48
8,07:56:00,07:56:00,758,17,48
8,08:03:00,08:03:00,53,18,48
9,07:14:00,07:14:00,726,1,185
9,07:16:00,07:16:00,617,2,185
9,07:18:00,07:18:00,2282,3,185
9,07:19:00,07:19:00,619,4,185
9,07:20:00,07:20:00,849,5,185
9,07:23:00,07:23:00,612,6,185
9,07:28:00,07:28:00,2459,7,185
9,07:32:00,07:32:00,2284,8,185
9,07:40:00,07:40:00,2327,9,185
10,07:14:00,07:14:00,431,1,191
10,07:18:00,07:18:00,47,2,191
10,07:20:00,07:20:00,131,3,191
10,07:24:00,07:24:00,469,4,191
10,07:27:00,07:27:00,482,5,191
11,07:15:00,07:15:00,2657,1,32
11,07:18:00,07:18:00,334,2,32
11,07:20:00,07:20:00,335,3,32
11,07:21:00,07:21:00,336,4,32
11,07:22:00,07:22:00,337,5,32
11,07:23:00,07:23:00,338,6,32
11,07:24:00,07:24:00,339,7,32
11,07:26:00,07:26:00,340,8,32
11,07:27:00,07:27:00,341,9,32
11,07:28:00,07:28:00,342,10,32
11,07:29:00,07:29:00,343,11,32
11,07:30:00,07:30:00,344,12,32
11,07:31:00,07:31:00,345,13,32
11,07:35:00,07:35:00,180,14,32
11,07:36:00,07:36:00,282,15,32
12,07:15:00,07:15:00,169,1,42
12,07:17:00,07:17:00,463,2,42
12,07:19:00,07:19:00,452,3,42
12,07:20:00,07:20:00,464,4,42
12,07:22:00,07:22:00,454,5,42
12,07:24:00,07:24:00,458,6,42
12,07:27:00,07:27:00,436,7,42
12,07:30:00,07:30:00,656,8,42
12,07:33:00,07:33:00,95,9,42
12,07:36:00,07:36:00,660,10,42
12,07:38:00,07:38:00,653,11,42
12,07:38:00,07:38:00,661,12,42
12,07:39:00,07:39:00,818,13,42
12,07:41:00,07:41:00,109,14,42
12,07:42:00,07:42:00,809,15,42
12,07:43:00,07:43:00,181,16,42
12,07:44:00,07:44:00,820,17,42
12,07:46:00,07:46:00,182,18,42
12,07:47:00,07:47:00,813,19,42
12,07:49:00,07:49:00,816,20,42
12,07:50:00,07:50:00,804,21,42
12,07:51:00,07:51:00,801,22,42
12,07:53:00,07:53:00,812,23,42
12,07:55:00,07:55:00,822,24,42
12,08:06:00,08:06:00,53,25,42
13,07:15:00,07:15:00,496,1,50
13,07:17:00,07:17:00,505,2,50
13,07:19:00,07:19:00,524,3,50
13,07:21:00,07:21:00,514,4,50
13,07:23:00,07:23:00,522,5,50
13,07:26:00,07:26:00,466,6,50
13,07:30:00,07:30:00,482,7,50
13,07:34:00,07:34:00,476,8,50
13,07:35:00,07:35:00,420,9,50
13,07:37:00,07:37:00,424,10,50
13,07:43:00,07:43:00,140,11,50
13,08:03:00,08:03:00,53,12,50
14,07:16:00,07:16:00,2318,1,187
14,07:18:00,07:18:00,2321,2,187
14,07:23:00,07:23:00,2348,3,187
14,07:26:00,07:26:00,2313,4,187
14,07:27:00,07:27:00,2317,5,187
14,07:30:00,07:30:00,2339,6,187
14,07:32:00,07:32:00,2383,7,187
14,07:40:00,07:40:00,2327,8,187
15,07:18:00,07:18:00,405,1,40
15,07:20:00,07:20:00,1267,2,40
15,07:22:00,07:22:00,413,3,40
15,07:24:00,07:24:00,163,4,40
15,07:27:00,07:27:00,534,5,40
15,07:29:00,07:29:00,97,6,40
15,07:50:00,07:50:00,275,7,40
15,07:55:00,07:55:00,52,8,40
15,08:05:00,08:05:00,53,9,40
16,07:18:00,07:18:00,451,1,44
16,07:26:00,07:26:00,441,2,44
16,07:28:00,07:28:00,435,3,44
16,07:30:00,07:30:00,105,4,44
16,07:34:00,07:34:00,438,5,44
16,07:36:00,07:36:00,447,6,44
16,07:38:00,07:38:00,442,7,44
16,07:41:00,07:41:00,448,8,44
16,07:45:00,07:45:00,806,9,44
16,07:46:00,07:46:00,802,10,44
16,07:49:00,07:49:00,833,11,44
16,07:51:00,07:51:00,845,12,44
16,07:53:00,07:53:00,684,13,44
16,07:58:00,07:58:00,209,14,44
16,07:59:00,07:59:00,208,15,44
16,08:05:00,08:05:00,53,16,44
17,07:19:00,07:19:00,2249,1,51
17,07:21:00,07:21:00,2248,2,51
17,07:28:00,07:28:00,2509,3,51
17,07:29:00,07:29:00,2505,4,51
17,07:32:00,07:32:00,1243,5,51
17,07:40:00,07:40:00,92,6,51
17,07:42:00,07:42:00,64,7,51
17,07:55:00,07:55:00,53,8,51
18,07:20:00,07:20:00,2341,1,189
