route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,TDRA,COZ1,Cozes 1 - Semussac Rivière < > Cozes,,3,,CE750F,FFFFFF
2,TDRA,COZ2,Cozes 2 - Semussac Z.A. < > Cozes,,3,,C5007B,FFFFFF
3,TDRA,COZ3,Cozes 3 - Talmont < > Cozes,,3,,834365,FFFFFF
4,TDRA,COZ4,Cozes 4 -  Boutenac < > Cozes,,3,,009CA4,FFFFFF
5,TDRA,COZ5,Cozes 5 -  Mortagne < > Cozes,,3,,0B72B5,FFFFFF
6,TDRA,COZ6,Cozes 6 -  Thaims < > Cozes,,3,,97BF0D,FFFFFF
11,TDRA,TRE1,TREMB 1 St-Augustin  < > La Tremblade,,3,,89408E,FFFFFF
12,TDRA,TRE2,TREMB 2 Chaillevette  < > La Tremblade,TREMB 2 Chaillevette < > La Tremblade,3,,A54C21,FFFFFF
13,TDRA,TRE3,TREMB 3 Etaules - Pirouette < > La Tremblade,,3,,739BAC,FFFFFF
14,TDRA,TRE4,TREMB 4 La Palmyre < > La Tremblade,,3,,6D1F80,FFFFFF
15,TDRA,TRE5,TREMB 5 Arvert Halle < > La Tremblade,,3,,0098B7,FFFFFF
16,TDRA,TRE6,TREMB 6 Etaules - OT < > La Tremblade,,3,,006C2B,FFFFFF
31,TDRA,11,L11 St-Sulpice-de-Royan < > Royan,,3,,1FA12D,FFFFFF
32,TDRA,12,L12 St-Georges-de-Didonne < > St-Palais-sur-Mer,,3,,93107E,FFFFFF
33,TDRA,21,L21 Les Mathes < > Royan,,3,,62C3DD,FFFFFF
34,TDRA,22,L22 Ronce-les-Bains < > Royan,,3,,F29400,FFFFFF
35,TDRA,23,L23 Saujon < > Royan,,3,,857AB3,FFFFFF
36,TDRA,24,L24 Cozes < > Royan,,3,,D7AE00,FFFFFF
37,TDRA,25,L25 Meschers < > Royan,,3,,DD84B1,FFFFFF
39,TDRA,102,L102 St Sulpice > Royan - Cordouan,,3,,99CC00,FFFFFF
40,TDRA,103,L103 Arvert Fouilloux < > Royan - Cordouan,,3,,8E3424,FFFFFF
41,TDRA,104,L104 Arvert  Dirée < > Royan - Cordouan,,3,,B00A46,FFFFFF
42,TDRA,105,L105 Chaillevette < > Royan - Cordouan,,3,,F2B700,FFFFFF
43,TDRA,106,L106 St-Palais-sur-Mer  < > Royan Cordouan,,3,,92C476,FFFFFF
44,TDRA,107,L107 Chaillevette < > Royan - Cordouan,,3,,D08E55,FFFFFF
45,TDRA,108,L108 L Eguille  < > Royan - Cordouan,,3,,ABB68C,FFFFFF
46,TDRA,109,L109 Saujon < > Royan - Cordouan,109 Saujon  < > Royan - Cordouan,3,,A7BBC1,FFFFFF
47,TDRA,110,L110 Saujon Berlan < > Royan - Cordouan,,3,,8CCAB4,FFFFFF
48,TDRA,111,L111 Grézac < > Royan - Cordouan,,3,,2699D1,FFFFFF
49,TDRA,115,L115  Royan - Ste Marie > Arvert,,3,,7CA421,FFFFFF
50,TDRA,112,L112 Cozes Garde < > Royan - Cordouan,,3,,F19FC1,000000
51,TDRA,113,L113 Corme Ecluse < > Royan - Cordouan,,3,,A08717,FFFFFF
52,TDRA,114,L114 Royan - Cordouan > Arvert,,3,,AD6556,FFFFFF
53,TDRA,121,L121 St-Palais-sur-Mer < > Royan - Dunant,,3,,D40032,FFFFFF
54,TDRA,122,L122 St-Palais-sur-Mer < > Royan - Dunant,,3,,D85017,FFFFFF
55,TDRA,123,L123 Breuillet < > Royan - Dunant,,3,,AD8473,FFFFFF
