route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
128,4,1,SAUJON - Gare,,1,
188,3,2,SAUJON - Collège,,0,
34,3,3,ROYAN - Gare ,,0,
34,6,4,ROYAN - Gare ,,0,
32,4,5,ST-PALAIS-SUR-MER - Vallet,,0,
41,3,6,ROYAN - Cordouan,,0,
190,3,7,SAUJON - Collège,,0,
48,3,8,ROYAN - Cordouan,,0,
185,3,9,SAUJON - Collège,,0,
191,3,10,CHENAC-ST-SEURIN-D'UZET - StSeurin Port,,0,
32,4,11,ST-GEORGES-DE-DIDONNE - Parasols,,1,
42,3,12,ROYAN - Cordouan,,0,
50,3,13,ROYAN - Cordouan,,0,
187,3,14,SAUJON - Collège,,0,
40,3,15,ROYAN - Cordouan,,0,
44,3,16,ROYAN - Cordouan,,0,
51,3,17,ROYAN - Cordouan,,0,
189,3,18,SAUJON - Collège,,0,
186,3,19,SAUJON - Collège,,0,
45,3,20,ROYAN - Cordouan,,0,
192,3,21,BOURCEFRANC - Lycée,,0,
43,3,22,ROYAN - Cordouan,,0,
36,3,23,ROYAN - Gare ,,0,
36,6,24,ROYAN - Gare ,,0,
33,3,25,ROYAN - Gare ,,0,
31,4,26,ST-SULPICE-DE-ROYAN - Centre,,1,
54,3,27,ROYAN - Dunant,,0,
37,3,28,ROYAN - Gare ,,0,
37,6,29,ROYAN - Gare ,,0,
47,3,30,ROYAN - Cordouan,,0,
35,4,31,ROYAN - Gare ,,0,
46,3,32,ROYAN - Cordouan,,0,
193,3,33,BOURCEFRANC - Lycée,,0,
32,4,34,ST-GEORGES-DE-DIDONNE - Parasols,,1,
13,3,35,LA TREMBLADE - Collège,,0,
126,4,36,ROYAN - Gare ,,1,
194,3,37,BOURCEFRANC - Lycée,,0,
39,3,38,ROYAN - Cordouan,,0,
55,3,39,ROYAN - Dunant,,0,
11,3,40,LA TREMBLADE - Collège,,0,
32,4,41,ST-PALAIS-SUR-MER - Vallet,,0,
158,3,42,ROYAN - Zola,,0,
58,3,43,ROYAN - Dunant,,0,
184,3,44,LA TREMBLADE - Collège,,0,
195,3,45,ROYAN - Cordouan,,0,
199,3,46,SAUJON - Ecole Jeanne d'Arc,,0,
133,4,47,MEDIS - Aérodrome,,0,
31,4,48,ROYAN - Cordouan,,0,
134,4,49,ROYAN - Cordouan,,0,
14,3,50,LA TREMBLADE - Collège,,0,
50,3,51,ROYAN - Cordouan,,0,
12,3,52,LA TREMBLADE - Collège,,0,
53,3,53,ROYAN - Dunant,,0,
57,3,54,ROYAN - Dunant,,0,
16,3,55,LA TREMBLADE - Collège,,0,
56,3,56,ROYAN - Dunant,,0,
55,3,57,ROYAN - Dunant,,0,
34,3,58,ROYAN - Gare ,,0,
34,6,59,ROYAN - Gare ,,0,
59,3,60,ROYAN - Dunant,,0,
128,4,61,RONCE - Casino,,0,
15,3,62,LA TREMBLADE - Collège,,0,
34,3,63,LA TREMBLADE - Ronce Casino,,1,
34,6,64,LA TREMBLADE - Ronce Casino,,1,
35,6,65,SAUJON - Richelieu,,1,
35,3,66,SAUJON - Richelieu,,1,
36,3,67,COZES - Gare,,1,
36,6,68,COZES - Gare,,1,
37,3,69,MESCHERS-SUR-GIRONDE - Longée,,1,
37,6,70,MESCHERS-SUR-GIRONDE - Longée,,1,
126,4,71,VAUX-SUR-MER - Grosse Pierre,,0,
132,3,72,ROYAN - Dunant,,0,
132,3,73,ROYAN - Zola,,0,
1,2,74,COZES - Collège,,0,
1,1,75,COZES - Collège,,0,
4,2,76,COZES - Collège,,0,
4,1,77,COZES - Collège,,0,
132,3,78,ROYAN - Dunant,,0,
3,2,79,COZES - Nazareth,,0,
3,1,80,COZES - Nazareth,,0,
132,3,81,ROYAN - Zola,,0,
132,3,82,ROYAN - Atlantique,,0,
132,3,83,ROYAN - Atlantique,,0,
132,3,84,ROYAN - Ste-Marie,,0,
128,4,85,SAUJON - Gare,,0,
5,2,86,COZES - Nazareth,,0,
5,1,87,COZES - Nazareth,,0,
134,4,88,ROYAN - Perche,,1,
31,4,89,ST-SULPICE-DE-ROYAN - Centre,,1,
2,2,90,COZES - Nazareth,,0,
2,1,91,COZES - Nazareth,,0,
133,4,92,VAUX-SUR-MER - Val Lumière,,1,
6,2,93,COZES - Collège,,0,
6,1,94,COZES - Collège,,0,
198,2,95,COZES - Collège,,0,
198,1,96,CORME-ECLUSE - Grenouille,,0,
104,3,97,LA TREMBLADE - Sablière,,0,
