trip_id,arrival_time,departure_time,stop_id,stop_sequence,route_id
25-1901395969,06:50:00,06:50:00,9648,1,113
25-1901395969,06:52:00,06:52:00,16018,2,113
25-1901395969,06:53:00,06:53:00,16023,3,113
25-1901395969,06:56:00,06:56:00,16033,4,113
25-1901395969,06:57:00,06:57:00,16933,5,113
25-1901395969,06:58:00,06:58:00,15978,6,113
25-1901395969,07:00:00,07:00:00,15958,7,113
25-1901395969,07:01:00,07:01:00,19384,8,113
25-1901395969,07:04:00,07:04:00,16032,9,113
25-1901395969,07:05:00,07:05:00,16019,10,113
25-1901395969,07:06:00,07:06:00,16029,11,113
25-1901395969,07:07:00,07:07:00,16026,12,113
25-1901395969,07:08:00,07:08:00,16028,13,113
25-1901395969,07:09:00,07:09:00,19252,14,113
25-1901395969,07:10:00,07:10:00,15994,15,113
25-1901395969,07:11:00,07:11:00,15988,16,113
25-1901395969,07:11:00,07:11:00,15985,17,113
25-1901395969,07:14:00,07:14:00,19253,18,113
25-1901395969,07:17:00,07:17:00,15998,19,113
25-1934819329,06:50:00,06:50:00,16048,1,115
25-1934819329,06:50:00,06:50:00,16047,2,115
25-1934819329,06:55:00,06:55:00,16039,3,115
25-1934819329,06:56:00,06:56:00,16037,4,115
25-1934819329,06:57:00,06:57:00,16049,5,115
25-1934819329,06:59:00,06:59:00,16041,6,115
25-1934819329,07:00:00,07:00:00,16045,7,115
25-1934819329,07:01:00,07:01:00,16035,8,115
25-1934819329,07:02:00,07:02:00,16043,9,115
25-1934819329,07:03:00,07:03:00,16021,10,115
25-1934819329,07:05:00,07:05:00,15978,11,115
25-1934819329,07:06:00,07:06:00,15962,12,115
25-1934819329,07:07:00,07:07:00,15981,13,115
25-1934819329,07:07:00,07:07:00,19256,14,115
25-1934819329,07:09:00,07:09:00,15946,15,115
25-1934819329,07:11:00,07:11:00,15970,16,115
25-1934819329,07:12:00,07:12:00,16148,17,115
25-1934819329,07:13:00,07:13:00,16151,18,115
25-1934819329,07:15:00,07:15:00,15968,19,115
