route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
113,2,25-1901395969,La Nourais,1.1,0,73917,0,0,Din1A2BL10
115,2,25-1934819329,La Nourais,3.1,0,73920,0,0,Din3A1AL10
114,2,25-1918042113,Deroyer,2.1,0,74467,0,0,Din2A3BL10
116,2,25-1946943489,Deroyer,4.1,1,D18002,0,0,Din4R02BL10
113,2,25-1901330433,Bourg Quévert,1.2,1,73917,0,0,Din1R1BL10
387,2,25-6493175825,Préval,5.1,1,37542,0,0,Din5R01CL10
115,2,25-1934884865,Mairie Taden,3.2,1,73920,0,0,Din3R1AL10
114,2,25-1918042114,Deroyer,2.2,0,74467,0,0,Din2A3BL10
116,2,25-1946746881,Clos des Ormeaux,4.2,0,D18002,0,0,Din4A04AL10
113,1,25-1901395970,La Nourais,1.3,0,73917,0,0,Din1A2BL10
113,2,25-1901264900,La Nourais,1.3,0,73917,0,0,Din1A1BL10
387,2,25-6493110302,Trélivan,5.2,0,37542,0,0,Din5A01CL10
116,1,25-1946943490,Deroyer,4.3,1,D18002,0,0,Din4R02BL10
114,3,25-1918042115,Deroyer,2.3,0,74467,0,0,Din2A3BL10
116,2,25-1946877953,Deroyer,4.3,1,D18002,0,0,Din4R01BL10
115,3,25-1934819332,La Nourais,3.3,0,73920,0,0,Din3A1AL10
113,3,25-1901330436,Bourg Quévert,1.4,1,73917,0,0,Din1R1BL10
387,3,25-6493175828,Préval,5.3,1,37542,0,0,Din5R01CL10
114,3,25-1918042116,Deroyer,2.4,0,74467,0,0,Din2A3BL10
116,3,25-1946746884,Clos des Ormeaux,4.4,0,D18002,0,0,Din4A04AL10
115,3,25-1934884868,Mairie Taden,3.4,1,73920,0,0,Din3R1AL10
113,3,25-1901264903,La Nourais,1.5,0,73917,0,0,Din1A1BL10
387,3,25-6493110304,Trélivan,5.4,0,37542,0,0,Din5A01CL10
116,3,25-1946877954,Deroyer,4.5,1,D18002,0,0,Din4R01BL10
114,3,25-1918042117,Deroyer,2.5,0,74467,0,0,Din2A3BL10
113,3,25-1901330439,Bourg Quévert,1.6,1,73917,0,0,Din1R1BL10
387,3,25-6493175829,Préval,5.5,1,37542,0,0,Din5R01CL10
115,3,25-1934819335,La Nourais,3.5,0,73920,0,0,Din3A1AL10
116,3,25-1946746888,Clos des Ormeaux,4.6,0,D18002,0,0,Din4A04AL10
114,3,25-1918042118,Deroyer,2.6,0,74467,0,0,Din2A3BL10
113,3,25-1901264906,La Nourais,1.7,0,73917,0,0,Din1A1BL10
116,3,25-1946877955,Deroyer,4.7,1,D18002,0,0,Din4R01BL10
387,3,25-6493110298,Trélivan,5.6,0,37542,0,0,Din5A01CL10
114,3,25-1918042119,Deroyer,2.7,0,74467,0,0,Din2A3BL10
115,3,25-1934884872,Mairie Taden,3.6,1,73920,0,0,Din3R1AL10
113,3,25-1901330442,Bourg Quévert,1.8,1,73917,0,0,Din1R1BL10
116,3,25-1946746891,Clos des Ormeaux,4.8,0,D18002,0,0,Din4A04AL10
114,3,25-1918042120,Deroyer,2.8,0,74467,0,0,Din2A3BL10
115,3,25-1934819338,La Nourais,3.7,0,73920,0,0,Din3A1AL10
116,3,25-1946877956,Deroyer,4.9,1,D18002,0,0,Din4R01BL10
113,3,25-1901264909,La Nourais,1.9,0,73917,0,0,Din1A1BL10
114,3,25-1918042121,Deroyer,2.9,0,74467,0,0,Din2A3BL10
116,3,25-1946746893,Clos des Ormeaux,4.10,0,D18002,0,0,Din4A04AL10
113,3,25-1901330445,Bourg Quévert,1.10,1,73917,0,0,Din1R1BL10
115,3,25-1934884874,Mairie Taden,3.8,1,73920,0,0,Din3R1AL10
114,3,25-1918042122,Deroyer,2.10,0,74467,0,0,Din2A3BL10
116,3,25-1946877957,Deroyer,4.11,1,D18002,0,0,Din4R01BL10
387,3,25-6493110280,Trélivan,5.8,0,37542,0,0,Din5A01CL10
113,3,25-1901264912,La Nourais,1.11,0,73917,0,0,Din1A1BL10
115,3,25-1934819341,La Nourais,3.9,0,73920,0,0,Din3A1AL10
114,3,25-1918042123,Deroyer,2.11,0,74467,0,0,Din2A3BL10
116,3,25-1946746896,Clos des Ormeaux,4.12,0,D18002,0,0,Din4A04AL10
387,3,25-6493175830,Préval,5.7,1,37542,0,0,Din5R01CL10
113,3,25-1901330448,Bourg Quévert,1.12,1,73917,0,0,Din1R1BL10
115,3,25-1934884877,Mairie Taden,3.10,1,73920,0,0,Din3R1AL10
116,3,25-1946877958,Deroyer,4.13,1,D18002,0,0,Din4R01BL10
114,3,25-1918042124,Deroyer,2.12,0,74467,0,0,Din2A3BL10
113,3,25-1901264915,La Nourais,1.13,0,73917,0,0,Din1A1BL10
116,3,25-1946746900,Clos des Ormeaux,4.14,0,D18002,0,0,Din4A04AL10
114,3,25-1918042125,Deroyer,2.13,0,74467,0,0,Din2A3BL10
115,3,25-1934819344,La Nourais,3.11,0,73920,0,0,Din3A1AL10
113,3,25-1901330451,Bourg Quévert,1.14,1,73917,0,0,Din1R1BL10
387,3,25-6493110281,Trélivan,5.10,0,37542,0,0,Din5A01CL10
116,3,25-1946877959,Deroyer,4.15,1,D18002,0,0,Din4R01BL10
114,3,25-1918042126,Deroyer,2.14,0,74467,0,0,Din2A3BL10
113,3,25-1901264918,La Nourais,1.15,0,73917,0,0,Din1A1BL10
115,3,25-1934884880,Mairie Taden,3.12,1,73920,0,0,Din3R1AL10
