station dans rayon,station atteintes
383,None
384,384
385,None
386,386
390,390
389,389
394,394
393,None
395,None
396,396
188,188
137,137
15,None
387,None
422,None
421,None
851,None
852,852
570,570
571,571
572,572
573,573
574,574
2243,2243
2245,2245
2494,2494
1243,1243
1244,None
2249,2249
2501,2501
2248,2248
2503,2503
489,None
488,None
490,490
491,491
492,None
493,493
495,None
494,494
499,499
500,None
502,None
503,None
504,None
505,None
1272,None
1270,None
2560,2560
2561,2561
29,None
7,7
506,None
497,None
496,496
501,None
111,None
190,190
28,None
498,498
1264,None
1265,None
514,514
515,None
524,524
525,None
191,None
93,None
549,None
550,None
829,None
830,830
551,None
552,None
554,None
553,None
539,539
37,None
538,538
546,546
545,545
2282,2282
609,None
610,None
612,612
611,611
617,None
616,616
619,None
618,618
2284,None
2640,2640
849,849
45,None
622,None
623,623
627,None
626,626
638,None
637,None
631,None
633,None
634,None
635,None
636,None
643,643
2383,None
2311,2311
2313,None
2387,2387
2322,2322
2405,None
2409,2409
2394,2394
2317,None
2328,None
2604,2604
2605,2605
703,None
704,None
2601,2601
2602,2602
2649,2649
2580,None
2581,2581
2650,2650
2583,None
2584,2584
2586,2586
2588,2588
2589,2589
2663,2663
2664,2664
2591,2591
716,None
717,717
2593,2593
2331,2331
2490,None
2595,2595
2596,2596
2598,2598
2599,2599
2327,None
708,708
711,711
709,709
2578,2578
712,712
714,714
715,None
185,185
63,63
720,None
719,719
724,None
725,None
726,726
727,727
64,64
2558,2558
65,65
186,186
92,92
187,187
136,136
2348,None
2341,2341
2424,None
2343,2343
2342,2342
2486,None
2345,2345
2488,None
2430,2430
2347,2347
2340,None
2439,2439
2336,2336
2433,None
2338,2338
2446,2446
2339,None
2463,2463
746,746
747,747
762,None
763,None
184,None
113,None
827,None
828,828
826,826
79,None
