destination,total_time,direct_walk_time
734,11640.0,3286.7472
733,3540.0,3332.76
739,11400.0,6206.212799999999
740,3780.0,6127.71
728,11340.0,6923.377199999999
729,3840.0,6805.4039999999995
738,11520.0,4691.3688
737,3660.0,4707.912
730,11580.0,3775.6487999999995
731,3600.0,3799.9824
736,11460.0,5181.0768
735,3720.0,5114.412
435,35760.0,5674.7148
434,15840.0,5686.9452
436,None,8529.966
437,19440.0,8533.4148
438,11040.0,6161.575199999999
439,4080.0,6149.7372
440,15900.0,5165.0304
441,15540.0,5167.636799999999
444,8580.0,6454.600799999999
445,4140.0,6467.681999999999
442,11280.0,5098.5948
443,3840.0,5180.3592
447,11160.0,5586.319199999999
446,3960.0,5558.7936
448,3720.0,3305.8451999999997
22,16080.0,4822.9392
177,None,4831.0404
172,15720.0,6362.8992
105,15660.0,6357.303599999999
452,15780.0,11593.2036
454,16020.0,10667.8932
455,19740.0,10667.011199999999
456,None,9731.5404
457,16140.0,9720.8748
465,8040.0,11167.2252
464,8580.0,11151.158399999998
458,None,9478.6716
459,19620.0,9479.4288
461,None,9205.1124
460,16380.0,9202.536
463,20820.0,10661.8956
462,20100.0,10668.0108
171,16500.0,8647.279199999999
23,None,8640.39
451,4320.0,9703.6632
24,16320.0,10454.4012
169,20760.0,10454.6604
578,None,10417.4256
579,13740.0,10421.7336
183,37020.0,10540.264799999999
87,13860.0,10578.471599999999
580,None,11074.539599999998
31,14040.0,11064.9828
526,7860.0,10987.7856
527,4560.0,10991.3148
529,7800.0,11402.328
530,4620.0,11405.159999999998
532,11160.0,9341.473199999999
531,4020.0,9355.311599999999
161,19200.0,9806.1156
97,15840.0,9813.9792
534,16500.0,10493.3904
35,19320.0,10388.1444
163,7740.0,11771.9232
165,4680.0,11720.321999999998
2260,None,10030.7268
584,11040.0,11103.994799999999
583,4140.0,11135.508
586,2580.0,10371.036
585,14040.0,10355.1408
151,4260.0,11961.6024
156,3720.0,11949.2256
598,13980.0,10951.9956
599,2700.0,10862.053199999998
2282,14160.0,11096.602799999999
609,None,9548.0208
610,18060.0,9556.326
612,3300.0,9044.4792
611,11820.0,9034.4664
613,None,7953.364799999999
614,18000.0,7957.5012
619,None,10901.3676
618,14100.0,10893.303600000001
2284,None,9099.5844
2640,3180.0,8240.2704
2459,None,7573.8984
849,14040.0,10320.228000000001
45,None,10322.7456
653,None,8049.8328
654,16980.0,8056.325999999999
656,None,8252.416799999999
657,17340.0,8261.276399999999
660,28500.0,8048.5416000000005
659,17100.0,8053.616399999999
178,17220.0,8313.48
95,15960.0,8316.8808
227,2700.0,7118.7756
194,6660.0,7012.015199999999
235,3660.0,4484.8404
278,20160.0,3551.0556
261,6600.0,3552.852
352,21420.0,4195.692
294,12360.0,6648.0707999999995
336,2580.0,6597.260399999999
379,1860.0,3880.0644
350,21300.0,3859.5432
221,2100.0,4478.5284
202,4140.0,4477.8408
228,2700.0,6961.568399999999
193,6480.0,6958.252799999999
303,5460.0,3507.7367999999997
328,1200.0,3512.2344
204,4260.0,3714.3624
219,1980.0,3709.3415999999997
270,12300.0,6803.344799999999
333,6360.0,4719.312
298,1500.0,4730.469599999999
377,1740.0,4144.518
249,3660.0,4417.3968
236,1620.0,4428.8027999999995
304,5580.0,3067.368
327,1200.0,3125.3219999999997
688,6780.0,6316.4039999999995
687,None,6261.271199999999
2611,14460.0,5512.656
2612,2520.0,5520.9924
205,4440.0,3799.056
218,1860.0,3807.4896
222,2160.0,5026.65
201,4020.0,5041.2168
276,20340.0,3544.1316
263,6420.0,3556.4639999999995
247,1560.0,4137.4464
238,3780.0,4136.3243999999995
198,6840.0,5443.248
224,2460.0,5437.9044
299,6480.0,4888.4964
332,1500.0,4922.1539999999995
380,1800.0,4154.0592
349,18360.0,4156.7328
1258,4200.0,4089.7835999999998
1259,2040.0,4103.6556
242,None,3398.6688
243,4020.0,3417.7247999999995
216,4500.0,3610.9331999999995
207,1800.0,3584.934
215,4500.0,3380.424
208,1680.0,3379.5503999999996
355,3060.0,2981.7108
374,1380.0,2930.4228
226,2700.0,6896.8596
195,6660.0,6872.052
251,3540.0,4762.8132
234,1800.0,4753.2804
1260,4740.0,2466.2592
1261,1500.0,2475.2675999999997
241,None,3426.2652
244,3960.0,3436.3296
277,20220.0,3399.4727999999996
262,6480.0,3419.0796
675,6720.0,6528.6636
676,2580.0,6543.003599999999
256,None,6479.994
229,4740.0,6468.9216
245,3840.0,3932.8752
240,1320.0,4004.5847999999996
356,3060.0,2834.5008
373,1380.0,2836.5588
684,1560.0,2996.5896
685,3180.0,2989.1904
354,21540.0,3699.24
375,1620.0,3651.5604
2566,None,6387.5256
2565,4680.0,6398.147999999999
214,1440.0,3067.71
209,1680.0,3080.2884
250,6300.0,4578.4884
297,1740.0,4604.122799999999
252,3420.0,4959.4296
233,1920.0,4970.0328
271,12360.0,6697.010399999999
353,21480.0,3895.2828
376,1680.0,3872.7335999999996
351,21360.0,4252.0068
378,1800.0,4273.8588
275,12180.0,3708.7679999999996
264,6300.0,3672.894
371,1320.0,2509.1604
254,2580.0,5648.2608
357,18120.0,2879.2164000000002
372,15120.0,2896.6548
272,None,6389.9424
267,12480.0,6371.0112
225,2520.0,6136.11
197,6780.0,6130.8672
302,5460.0,3699.0948
329,1260.0,3670.9487999999997
213,None,3370.6428
210,15060.0,3369.3192
200,3960.0,5017.6524
2564,2760.0,6580.995599999999
206,4440.0,3666.4464
