destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
734,12840.0,DRT,3,2601,1860,None,1024.829131652661,30.0,10621.9188
733,17940.0,DRT,4,2601,1860,None,1024.829131652661,30.0,10637.737200000001
738,12720.0,DRT,3,2601,1860,None,1024.829131652661,30.0,11670.6996
737,18060.0,DRT,4,2601,1860,None,1024.829131652661,30.0,11678.1252
730,12780.0,DRT,3,2601,1860,None,1024.829131652661,30.0,10830.8688
731,18000.0,DRT,4,2601,1860,None,1024.829131652661,30.0,10830.158399999998
435,35760.0,DRT,4,2601,1860,None,1024.829131652661,30.0,9491.5344
434,15840.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9498.0216
436,None,None,None,None,None,None,None,None,8850.4512
437,19440.0,DRT,3,2601,1860,None,1024.829131652661,30.0,8847.0
438,12240.0,DRT,2,2601,1860,None,1024.829131652661,30.0,7929.217199999999
439,15540.0,DRT,3,2601,1860,None,1024.829131652661,30.0,7912.0668
440,15900.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9363.1932
441,15540.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9361.7928
444,12120.0,DRT,2,2601,1860,None,1024.829131652661,30.0,8095.23
445,8040.0,DRT,1,2601,1860,None,1024.829131652661,30.0,8075.2524
442,12480.0,DRT,2,2601,1860,None,1024.829131652661,30.0,8219.211599999999
443,16380.0,DRT,4,2601,1860,None,1024.829131652661,30.0,8196.6492
447,12360.0,DRT,2,2601,1860,None,1024.829131652661,30.0,7986.1524
446,16500.0,DRT,4,2601,1860,None,1024.829131652661,30.0,7987.2047999999995
448,12540.0,DRT,2,2601,1860,None,1024.829131652661,30.0,8063.5524000000005
22,16080.0,DRT,3,2601,1860,None,1024.829131652661,30.0,6317.6112
177,None,None,None,None,None,None,None,None,6313.3044
172,15720.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9184.8732
105,15660.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9178.1916
452,19920.0,DRT,4,2601,1860,None,1024.829131652661,30.0,11516.2728
454,21060.0,DRT,4,2601,1860,None,1024.829131652661,30.0,10866.6996
455,19740.0,DRT,3,2601,1860,None,1024.829131652661,30.0,10832.867999999999
456,None,None,None,None,None,None,None,None,10623.7056
457,21180.0,DRT,4,2601,1860,None,1024.829131652661,30.0,10617.181199999999
465,18120.0,DRT,3,2601,1860,None,1024.829131652661,30.0,11682.170399999999
464,8580.0,DRT,1,2601,1860,None,1024.829131652661,30.0,11707.5864
458,None,None,None,None,None,None,None,None,9904.8024
459,19620.0,DRT,3,2601,1860,None,1024.829131652661,30.0,9892.074
461,None,None,None,None,None,None,None,None,10055.0352
460,32700.0,DRT,5,2601,1860,None,1024.829131652661,30.0,10061.6064
463,20820.0,DRT,3,2601,1860,None,1024.829131652661,30.0,11770.463999999998
462,20100.0,DRT,4,2601,1860,None,1024.829131652661,30.0,11780.575200000001
171,32760.0,DRT,5,2601,1860,None,1024.829131652661,30.0,10278.0924
23,None,None,None,None,None,None,None,None,10272.3192
451,11940.0,DRT,2,2601,1860,None,1024.829131652661,30.0,11716.4556
24,16320.0,DRT,2,2601,1860,None,1024.829131652661,30.0,11810.801999999998
169,20760.0,DRT,3,2601,1860,None,1024.829131652661,30.0,11798.4636
851,None,None,None,None,None,None,None,None,7686.4583999999995
852,18780.0,DRT,3,2601,1860,None,1024.829131652661,30.0,7716.9
570,18660.0,DRT,3,2601,1860,None,1024.829131652661,30.0,8418.0456
571,30300.0,DRT,4,2601,1860,None,1024.829131652661,30.0,5995.6188
572,19020.0,DRT,3,2601,1860,None,1024.829131652661,30.0,5996.2944
573,30360.0,DRT,4,2601,1860,None,1024.829131652661,30.0,6874.669199999999
574,18960.0,DRT,3,2601,1860,None,1024.829131652661,30.0,6877.995599999999
2243,31500.0,DRT,4,2601,1860,None,1024.829131652661,30.0,6077.1143999999995
2245,29640.0,DRT,5,2601,1860,None,1024.829131652661,30.0,8384.454
2494,18960.0,DRT,4,2601,1860,None,1024.829131652661,30.0,8380.375199999999
1243,33360.0,DRT,6,2601,1860,None,1024.829131652661,30.0,11944.5132
1244,19680.0,DRT,5,2601,1860,None,1024.829131652661,30.0,11952.039599999998
2249,30540.0,DRT,4,2601,1860,None,1024.829131652661,30.0,8564.1816
2501,20460.0,DRT,5,2601,1860,None,1024.829131652661,30.0,8562.8184
2248,30660.0,DRT,4,2601,1860,None,1024.829131652661,30.0,10045.1448
2503,20340.0,DRT,5,2601,1860,None,1024.829131652661,30.0,10043.5404
2250,19860.0,DRT,5,2601,1860,None,1024.829131652661,30.0,11742.7212
2505,31020.0,DRT,4,2601,1860,None,1024.829131652661,30.0,11725.831199999999
578,None,None,None,None,None,None,None,None,3183.6719999999996
579,18960.0,DRT,5,2601,1860,None,1024.829131652661,30.0,3189.8399999999997
183,37020.0,DRT,2,2601,1860,None,1024.829131652661,30.0,3685.7544
87,19140.0,DRT,5,2601,1860,None,1024.829131652661,30.0,3724.8215999999998
