destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
399,None,None,None,None,None,None,None,None,11951.952
400,32580.0,WALK,5,800,None,1168.832,None,None,11930.727599999998
413,30660.0,WALK,5,800,None,1168.832,None,None,11406.438
414,23160.0,WALK,4,800,None,1168.832,None,None,11389.232399999999
734,26580.0,WALK,5,800,None,1168.832,None,None,5845.4268
733,22260.0,WALK,5,800,None,1168.832,None,None,5857.3056
739,26340.0,WALK,5,800,None,1168.832,None,None,7991.350799999999
740,22500.0,WALK,5,800,None,1168.832,None,None,7933.546799999999
728,26280.0,WALK,5,800,None,1168.832,None,None,8489.0544
729,22560.0,WALK,5,800,None,1168.832,None,None,8424.0228
738,26460.0,WALK,5,800,None,1168.832,None,None,6845.3243999999995
737,22380.0,WALK,5,800,None,1168.832,None,None,6852.5268
730,26520.0,WALK,5,800,None,1168.832,None,None,6022.299599999999
731,22320.0,WALK,5,800,None,1168.832,None,None,6020.0436
736,26400.0,WALK,5,800,None,1168.832,None,None,7256.547599999999
735,22440.0,WALK,5,800,None,1168.832,None,None,7211.748
435,35760.0,WALK,4,800,None,1168.832,None,None,4870.482
434,32220.0,WALK,5,800,None,1168.832,None,None,4879.0068
436,None,None,None,None,None,None,None,None,5469.3984
437,19440.0,WALK,1,817,None,1042.564,None,None,5469.024
438,25920.0,WALK,3,817,None,1042.564,None,None,3650.8895999999995
439,22440.0,WALK,4,800,None,1168.832,None,None,3631.4904
440,32340.0,WALK,5,800,None,1168.832,None,None,4653.9096
441,35640.0,WALK,4,800,None,1168.832,None,None,4653.0384
444,23760.0,WALK,2,817,None,1042.564,None,None,3912.0155999999997
445,22500.0,WALK,4,800,None,1168.832,None,None,3901.3439999999996
442,26160.0,WALK,3,817,None,1042.564,None,None,3565.674
443,22200.0,WALK,4,800,None,1168.832,None,None,3564.2904
447,26040.0,WALK,3,817,None,1042.564,None,None,3487.1664
446,22320.0,WALK,4,800,None,1168.832,None,None,3479.1216
448,22080.0,WALK,4,800,None,1168.832,None,None,3249.3948
172,32160.0,WALK,5,800,None,1168.832,None,None,4785.2375999999995
105,35880.0,WALK,4,800,None,1168.832,None,None,4777.8132
452,19920.0,WALK,1,817,None,1042.564,None,None,8680.5276
454,21060.0,WALK,2,817,None,1042.564,None,None,7824.2988
455,19740.0,WALK,1,817,None,1042.564,None,None,7803.886799999999
456,None,None,None,None,None,None,None,None,7210.6296
457,21180.0,WALK,2,817,None,1042.564,None,None,7201.3728
465,19860.0,WALK,1,817,None,1042.564,None,None,8560.931999999999
464,28200.0,WALK,5,800,None,1168.832,None,None,8568.341999999999
458,None,None,None,None,None,None,None,None,6631.171199999999
459,19620.0,WALK,1,817,None,1042.564,None,None,6623.629199999999
461,None,None,None,None,None,None,None,None,6591.0372
460,32700.0,WALK,3,817,None,1042.564,None,None,6594.079199999999
463,35820.0,WALK,6,800,None,1168.832,None,None,8375.844
462,20100.0,WALK,1,817,None,1042.564,None,None,8385.062399999999
171,32760.0,WALK,3,817,None,1042.564,None,None,6488.406
23,None,None,None,None,None,None,None,None,6481.4039999999995
451,22680.0,WALK,4,800,None,1168.832,None,None,7928.296799999999
24,20220.0,WALK,1,817,None,1042.564,None,None,8308.4808
169,35760.0,WALK,6,800,None,1168.832,None,None,8300.5776
571,30300.0,WALK,3,817,None,1042.564,None,None,10683.06
572,33420.0,WALK,4,817,None,1042.564,None,None,10685.354399999998
573,30360.0,WALK,3,817,None,1042.564,None,None,11517.2052
574,33360.0,WALK,4,817,None,1042.564,None,None,11521.528799999998
2243,31500.0,WALK,3,817,None,1042.564,None,None,10606.8336
578,None,None,None,None,None,None,None,None,5301.4068
579,30540.0,WALK,4,817,None,1042.564,None,None,5305.3464
183,37020.0,WALK,2,817,None,1042.564,None,None,5396.802
87,30660.0,WALK,4,817,None,1042.564,None,None,5434.352400000001
580,None,None,None,None,None,None,None,None,5926.794
31,30840.0,WALK,4,817,None,1042.564,None,None,5917.2348
526,31920.0,WALK,6,800,None,1168.832,None,None,9592.632
527,22920.0,WALK,4,800,None,1168.832,None,None,9585.15
529,30780.0,WALK,5,800,None,1168.832,None,None,10114.0716
530,22980.0,WALK,4,800,None,1168.832,None,None,10110.9012
532,26100.0,WALK,5,800,None,1168.832,None,None,9556.7724
531,22740.0,WALK,5,800,None,1168.832,None,None,9567.080399999999
161,33600.0,WALK,6,800,None,1168.832,None,None,9497.3244
97,32220.0,WALK,6,800,None,1168.832,None,None,9501.3144
534,32940.0,WALK,5,800,None,1168.832,None,None,9706.3344
35,33720.0,WALK,6,800,None,1168.832,None,None,9668.9004
163,30720.0,WALK,5,800,None,1168.832,None,None,10526.3172
165,23040.0,WALK,4,800,None,1168.832,None,None,10465.3368
2260,None,None,None,None,None,None,None,None,5082.1236
584,25980.0,WALK,5,800,None,1168.832,None,None,11764.3488
583,22860.0,WALK,5,800,None,1168.832,None,None,11794.021200000001
2282,30960.0,WALK,5,817,None,1042.564,None,None,9627.7428
609,None,None,None,None,None,None,None,None,8779.8336
610,32460.0,WALK,5,800,None,1168.832,None,None,8786.613599999999
612,29040.0,WALK,4,800,None,1168.832,None,None,7028.593199999999
611,26640.0,WALK,4,817,None,1042.564,None,None,7017.6012
613,None,None,None,None,None,None,None,None,5495.5296
614,32400.0,WALK,5,800,None,1168.832,None,None,5501.429999999999
617,None,None,None,None,None,None,None,None,10899.4188
616,31080.0,WALK,5,817,None,1042.564,None,None,10900.917599999999
619,None,None,None,None,None,None,None,None,9359.3604
618,30900.0,WALK,5,817,None,1042.564,None,None,9355.7352
2284,None,None,None,None,None,None,None,None,6896.408399999999
2640,24000.0,WALK,3,800,None,1168.832,None,None,7264.401599999999
2459,None,None,None,None,None,None,None,None,5398.2288
849,30840.0,WALK,5,817,None,1042.564,None,None,8787.4152
45,None,None,None,None,None,None,None,None,8785.6848
653,None,None,None,None,None,None,None,None,3125.8644
654,16980.0,WALK,0,817,None,1042.564,None,None,3131.4036
656,None,None,None,None,None,None,None,None,4438.8756
657,17340.0,WALK,0,817,None,1042.564,None,None,4447.1723999999995
660,28500.0,WALK,5,800,None,1168.832,None,None,3457.62
659,17100.0,WALK,0,817,None,1042.564,None,None,3463.5012
178,17220.0,WALK,0,817,None,1042.564,None,None,4093.7424
95,28380.0,WALK,5,800,None,1168.832,None,None,4116.6539999999995
787,28680.0,WALK,5,800,None,1168.832,None,None,7353.7092
786,26940.0,WALK,5,800,None,1168.832,None,None,7386.3240000000005
788,33000.0,WALK,6,800,None,1168.832,None,None,6527.646
227,23340.0,WALK,3,800,None,1168.832,None,None,8406.762
194,24180.0,WALK,3,800,None,1168.832,None,None,8318.214
235,24960.0,WALK,3,800,None,1168.832,None,None,7091.124
278,20160.0,WALK,2,800,None,1168.832,None,None,3163.1772
261,22980.0,WALK,5,800,None,1168.832,None,None,3247.4615999999996
352,36180.0,WALK,6,800,None,1168.832,None,None,6754.8264
294,27480.0,WALK,5,800,None,1168.832,None,None,8490.6768
336,24900.0,WALK,3,800,None,1168.832,None,None,8451.0396
379,24060.0,WALK,5,800,None,1168.832,None,None,6333.958799999999
350,36060.0,WALK,6,800,None,1168.832,None,None,6318.0024
221,20580.0,WALK,2,800,None,1168.832,None,None,5940.1428
202,21300.0,WALK,3,800,None,1168.832,None,None,5925.2771999999995
228,23340.0,WALK,3,800,None,1168.832,None,None,8038.031999999999
193,24000.0,WALK,3,800,None,1168.832,None,None,8066.2788
303,25380.0,WALK,4,800,None,1168.832,None,None,7395.558
328,29700.0,WALK,6,800,None,1168.832,None,None,7404.5004
204,21420.0,WALK,3,800,None,1168.832,None,None,5444.8128
219,22740.0,WALK,5,800,None,1168.832,None,None,5390.9376
270,27120.0,WALK,4,817,None,1042.564,None,None,6951.165599999999
333,25080.0,WALK,3,800,None,1168.832,None,None,7517.4072
298,30180.0,WALK,6,800,None,1168.832,None,None,7518.8688
377,23940.0,WALK,5,800,None,1168.832,None,None,6833.3544
249,24960.0,WALK,3,800,None,1168.832,None,None,7215.893999999999
236,33300.0,WALK,7,800,None,1168.832,None,None,7233.1236
304,25560.0,WALK,4,800,None,1168.832,None,None,7212.4044
327,29640.0,WALK,6,800,None,1168.832,None,None,7249.5432
688,27300.0,WALK,4,800,None,1168.832,None,None,7706.2656
687,None,None,None,None,None,None,None,None,7664.8535999999995
2611,27780.0,WALK,5,817,None,1042.564,None,None,6625.702799999999
2612,21300.0,WALK,2,800,None,1168.832,None,None,6619.77
205,21600.0,WALK,3,800,None,1168.832,None,None,5921.863200000001
218,22620.0,WALK,5,800,None,1168.832,None,None,5903.8188
222,20580.0,WALK,2,800,None,1168.832,None,None,6516.0348
201,21180.0,WALK,3,800,None,1168.832,None,None,6509.5032
276,20340.0,WALK,2,800,None,1168.832,None,None,4789.5408
263,22800.0,WALK,5,800,None,1168.832,None,None,4774.7184
247,33240.0,WALK,7,800,None,1168.832,None,None,7301.316
