destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
399,-2820.0,WALK,15,568,None,2869,None,None,11447.1804
400,16140.0,WALK,27,568,None,2869,None,None,11467.7148
2637,15840.0,WALK,30,568,None,2869,None,None,11014.717200000001
2638,-2580.0,WALK,22,568,None,2869,None,None,11014.258800000001
2643,15240.0,WALK,36,568,None,2869,None,None,10266.684
2644,-1920.0,WALK,11,568,None,2869,None,None,10263.582
407,-4740.0,WALK,16,568,None,2869,None,None,9722.706
408,-2340.0,WALK,35,568,None,2869,None,None,9715.0644
410,-2400.0,WALK,27,568,None,2869,None,None,9957.4164
409,15720.0,WALK,29,568,None,2869,None,None,9955.278
412,-2580.0,WALK,10,568,None,2869,None,None,9725.022
411,15180.0,WALK,29,568,None,2869,None,None,9726.7608
415,15120.0,WALK,16,568,None,2869,None,None,9124.4196
416,-1800.0,WALK,9,568,None,2869,None,None,9130.6212
2608,-1860.0,WALK,5,568,None,2869,None,None,9578.6544
2609,15180.0,WALK,29,568,None,2869,None,None,9573.0132
155,-2640.0,WALK,26,568,None,2869,None,None,8775.7416
17,15540.0,WALK,18,568,None,2869,None,None,8789.0592
403,-1080.0,WALK,4,568,None,2869,None,None,9011.64
404,-2520.0,WALK,26,568,None,2869,None,None,8981.821199999998
405,-1020.0,WALK,10,568,None,2869,None,None,10100.07
406,-1200.0,WALK,13,568,None,2869,None,None,10137.354
1267,-960.0,WALK,6,568,None,2869,None,None,10942.9692
1266,-1320.0,WALK,12,568,None,2869,None,None,10922.2296
159,-4680.0,WALK,17,568,None,2869,None,None,10518.658800000001
18,-2460.0,WALK,34,568,None,2869,None,None,10534.967999999999
2635,-600.0,WALK,28,568,None,2869,None,None,4665.6395999999995
607,4920.0,WALK,29,568,None,2869,None,None,6435.9348
1237,4500.0,WALK,8,568,None,2869,None,None,11421.546
591,3180.0,WALK,30,568,None,2869,None,None,11909.1036
154,4680.0,WALK,5,568,None,2869,None,None,11287.4232
42,14760.0,WALK,3,568,None,2869,None,None,11287.816799999999
568,4320.0,WALK,0,568,None,2869,None,None,2869.0656
567,1320.0,WALK,5,568,None,2869,None,None,3855.9551999999994
566,-1740.0,WALK,11,568,None,2869,None,None,3737.1695999999997
560,-1560.0,WALK,9,568,None,2869,None,None,5904.9336
559,-1740.0,WALK,26,568,None,2869,None,None,5877.9803999999995
565,-1560.0,WALK,10,568,None,2869,None,None,4721.5152
564,-1680.0,WALK,5,568,None,2869,None,None,4756.3488
563,-1260.0,WALK,10,568,None,2869,None,None,7822.2984
562,-1140.0,WALK,10,568,None,2869,None,None,7831.775999999999
2660,-2220.0,WALK,34,568,None,2869,None,None,6744.368399999999
2661,19920.0,WALK,5,568,None,2869,None,None,6736.514399999999
558,-1800.0,WALK,8,568,None,2869,None,None,5707.2132
157,300.0,WALK,15,568,None,2869,None,None,6483.5748
139,-2280.0,WALK,11,568,None,2869,None,None,6884.2248
158,-1440.0,WALK,5,568,None,2869,None,None,6957.4452
