destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
2249,None,None,None,None,None,None,None,None,11644.7004
2501,None,None,None,None,None,None,None,None,11642.750399999999
2248,None,None,None,None,None,None,None,None,10358.9712
2503,None,None,None,None,None,None,None,None,10355.812799999998
2250,None,None,None,None,None,None,None,None,9757.854
2505,None,None,None,None,None,None,None,None,9767.1168
2252,None,None,None,None,None,None,None,None,8694.2076
2509,None,None,None,None,None,None,None,None,8705.779199999999
489,None,None,None,None,None,None,None,None,11590.4508
488,None,None,None,None,None,None,None,None,11589.8688
490,None,None,None,None,None,None,None,None,10068.132
491,None,None,None,None,None,None,None,None,10039.0476
495,None,None,None,None,None,None,None,None,11040.4968
494,None,None,None,None,None,None,None,None,11047.658399999998
499,None,None,None,None,None,None,None,None,10929.201599999999
500,None,None,None,None,None,None,None,None,10915.7184
502,None,None,None,None,None,None,None,None,9560.166
503,None,None,None,None,None,None,None,None,9533.3724
504,None,None,None,None,None,None,None,None,10856.2764
505,None,None,None,None,None,None,None,None,10889.750399999999
2560,None,None,None,None,None,None,None,None,10705.771200000001
2561,None,None,None,None,None,None,None,None,10694.9904
29,None,None,None,None,None,None,None,None,11102.650800000001
7,None,None,None,None,None,None,None,None,9733.83
506,None,None,None,None,None,None,None,None,10153.4304
497,None,None,None,None,None,None,None,None,9929.355599999999
496,None,None,None,None,None,None,None,None,9925.9104
190,None,None,None,None,None,None,None,None,10518.2748
28,None,None,None,None,None,None,None,None,10499.0064
498,None,None,None,None,None,None,None,None,9734.146799999999
549,None,None,None,None,None,None,None,None,6752.1528
550,None,None,None,None,None,None,None,None,6744.5088
829,None,None,None,None,None,None,None,None,5745.7872
830,None,None,None,None,None,None,None,None,5743.2948
551,None,None,None,None,None,None,None,None,7148.440799999999
552,None,None,None,None,None,None,None,None,7144.6404
554,None,None,None,None,None,None,None,None,7635.6132
553,None,None,None,None,None,None,None,None,7621.3344
539,None,None,None,None,None,None,None,None,7805.8272
37,None,None,None,None,None,None,None,None,7702.8816
538,None,None,None,None,None,None,None,None,7786.691999999999
546,None,None,None,None,None,None,None,None,8752.529999999999
545,None,None,None,None,None,None,None,None,8748.4032
2341,None,None,None,None,None,None,None,None,9489.571199999998
2342,None,None,None,None,None,None,None,None,10435.583999999999
2486,None,None,None,None,None,None,None,None,10430.2308
2345,None,None,None,None,None,None,None,None,11134.270799999998
2488,None,None,None,None,None,None,None,None,11133.372
2430,None,None,None,None,None,None,None,None,8882.5464
2347,None,None,None,None,None,None,None,None,8871.6456
2340,None,None,None,None,None,None,None,None,11232.2916
2439,None,None,None,None,None,None,None,None,11118.2568
2338,None,None,None,None,None,None,None,None,10179.778799999998
2446,None,None,None,None,None,None,None,None,10186.1688
827,None,None,None,None,None,None,None,None,4058.8727999999996
828,None,None,None,None,None,None,None,None,4056.2304
826,None,None,None,None,None,None,None,None,3347.9148
79,None,None,None,None,None,None,None,None,3339.7571999999996
