destination,total_time,transport,correspondance,1st_station,time_to_1st_station,walking_time,drt_time,drt_waiting_time,direct_walk_time
2383,-3480.0,WALK,20,2385,None,4782,None,None,9639.4356
2311,13380.0,WALK,24,2385,None,4782,None,None,9646.356
2385,14820.0,WALK,0,2385,None,4782,None,None,4782.0168
2312,20220.0,WALK,20,2385,None,4782,None,None,4809.6708
2402,14220.0,WALK,20,2385,None,4782,None,None,7004.3808
2321,-4320.0,WALK,23,2385,None,4782,None,None,7009.968
2313,-3840.0,WALK,23,2385,None,4782,None,None,8633.8392
2387,13740.0,WALK,10,2385,None,4782,None,None,8635.7112
2322,13620.0,WALK,27,2385,None,4782,None,None,10637.631599999999
2405,-3720.0,WALK,19,2385,None,4782,None,None,10625.420399999999
2407,14340.0,WALK,18,2385,None,4782,None,None,5812.036799999999
2316,-5100.0,WALK,21,2385,None,4782,None,None,5660.987999999999
2409,-3660.0,WALK,21,2385,None,4782,None,None,10227.693599999999
2394,13680.0,WALK,27,2385,None,4782,None,None,8997.732
2317,-3780.0,WALK,19,2385,None,4782,None,None,9009.0756
2318,-4440.0,WALK,21,2385,None,4782,None,None,5805.5412
2649,-3300.0,WALK,25,2385,None,4782,None,None,11904.962399999999
2650,-3360.0,WALK,22,2385,None,4782,None,None,11333.1012
2593,1500.0,WALK,17,2385,None,4782,None,None,11566.239599999999
2595,-3300.0,WALK,19,2385,None,4782,None,None,11598.8316
2596,-720.0,WALK,18,2385,None,4782,None,None,11586.9984
2348,-4020.0,WALK,14,2385,None,4782,None,None,7881.442799999999
2341,-4200.0,WALK,23,2385,None,4782,None,None,11453.3592
2424,-4860.0,WALK,13,2385,None,4782,None,None,6476.0964
2343,14580.0,WALK,18,2385,None,4782,None,None,6463.968
2342,13980.0,WALK,20,2385,None,4782,None,None,11073.6
2486,-4080.0,WALK,20,2385,None,4782,None,None,11066.3808
2345,13860.0,WALK,22,2385,None,4782,None,None,10735.6944
2488,-3960.0,WALK,14,2385,None,4782,None,None,10729.195199999998
2430,-4200.0,WALK,18,2385,None,4782,None,None,9945.7056
2347,19620.0,WALK,11,2385,None,4782,None,None,9956.862
2340,-3960.0,WALK,8,2385,None,4782,None,None,10032.5676
2439,13800.0,WALK,10,2385,None,4782,None,None,9916.7904
2336,13680.0,WALK,10,2385,None,4782,None,None,10413.493199999999
2433,-3780.0,WALK,23,2385,None,4782,None,None,10396.8672
2338,-4440.0,WALK,22,2385,None,4782,None,None,9492.7104
2446,19800.0,WALK,21,2385,None,4782,None,None,9487.5108
2339,-3600.0,WALK,9,2385,None,4782,None,None,9898.8828
2463,19500.0,WALK,20,2385,None,4782,None,None,9891.9504
