centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
0,16,14,0,0,0,0,0,14,145302.2196,9081.388725,0.00011011531719230528
1,27,22,0,0,0,0,0,22,244999.16880000004,9074.04328888889,0.00011020445551813641
2,37,30,0,0,0,0,0,30,329627.17079999996,8908.842454054053,0.0001122480283108992
3,47,37,6,0,0,0,0,37,393695.6171999999,8376.50249361702,0.00011938156775599485
4,55,45,6,0,0,0,0,45,442849.09200000006,8051.801672727274,0.0001241958061867269
5,70,59,7,0,0,0,0,59,574993.1064,8214.187234285715,0.0001217405899668365
6,75,64,6,0,0,0,0,64,590021.7311999999,7866.956415999999,0.0001271139621374
7,85,74,6,0,0,0,0,74,633050.9387999999,7447.65810352941,0.00013427039561954445
8,94,80,0,0,0,0,0,80,648950.0231999998,6903.723651063828,0.0001448493668841894
9,102,1,0,0,0,0,0,1,688983.7739999995,6754.742882352936,0.00014804412505656494
10,107,None,None,None,None,None,None,None,721314.7643999999,6741.25948037383,0.00014834023269855588
11,109,92,4,0,0,0,0,92,738160.9739999997,6772.119027522933,0.0001476642681464762
12,115,101,7,0,0,0,0,101,800406.0708000001,6960.0527895652185,0.00014367707117095993
13,117,103,5,0,0,0,0,103,877897.7171999998,7503.399292307691,0.0001332729288477526
14,129,115,6,0,0,0,0,115,1061227.5132000002,8226.569869767443,0.00012155734599361873
15,150,136,12,0,0,0,0,136,1274323.8288000003,8495.492192000002,0.0001177094837355834
16,156,143,23,0,0,0,0,143,1290348.8291999998,8271.466853846152,0.00012089754062606315
17,157,144,31,0,0,0,0,144,1295114.3315999997,8249.135870063692,0.00012122481866604034
18,151,142,27,0,0,0,0,142,1252676.0616000001,8295.867957615896,0.00012054193787908175
19,154,148,32,0,0,0,0,148,1286711.2032,8355.267553246755,0.00011968497640885388
20,137,134,25,0,0,0,0,134,1203002.0063999994,8781.03654306569,0.00011388177182677728
21,131,130,28,0,0,0,0,130,1167065.4948,8908.896906870228,0.00011224734223030857
22,129,128,29,0,0,0,0,128,1190507.0015999998,9228.736446511626,0.00010835719557014659
23,117,116,31,0,0,0,0,116,1100446.6775999996,9405.527158974355,0.00010632046275533237
24,98,97,3,0,0,0,0,97,991668.1836000003,10119.063097959188,9.8823378243553e-05
25,92,92,4,0,0,0,0,92,970870.2024,10552.936982608695,9.476034981048462e-05
26,56,None,None,None,None,None,None,None,595193.9568000002,10628.463514285717,9.408697679169714e-05
27,35,None,None,None,None,None,None,None,377291.1647999999,10779.747565714284,9.276655078459979e-05
28,20,None,None,None,None,None,None,None,220738.77239999996,11036.938619999997,9.060483476712496e-05
29,8,None,None,None,None,None,None,None,91918.6572,11489.83215,8.703347333059169e-05
30,0,None,None,None,None,None,None,None,0.0,0.0,0.0
31,0,None,None,None,None,None,None,None,0.0,0.0,0.0
32,0,None,None,None,None,None,None,None,0.0,0.0,0.0
33,0,None,None,None,None,None,None,None,0.0,0.0,0.0
34,0,None,None,None,None,None,None,None,0.0,0.0,0.0
35,0,None,None,None,None,None,None,None,0.0,0.0,0.0
36,0,None,None,None,None,None,None,None,0.0,0.0,0.0
37,0,None,None,None,None,None,None,None,0.0,0.0,0.0
38,0,None,None,None,None,None,None,None,0.0,0.0,0.0
39,0,None,None,None,None,None,None,None,0.0,0.0,0.0
