centroid,accessibilite
0,6.88220732451908e-06
1,4.081646500671719e-06
9,1.4514129907506367e-06
10,1.3863573149397747e-06
11,1.35471805638969e-06
12,1.2493658362692167e-06
13,1.1390848619466032e-06
14,9.423050077024707e-07
40,6.081005467886875e-06
41,3.5588451356211395e-06
49,1.5041418531393437e-06
50,1.3281036987107901e-06
51,1.2958380076348407e-06
52,1.1995369372862107e-06
89,1.533713774102427e-06
90,1.3862848406138355e-06
91,1.2582199192771395e-06
92,1.0863876471286144e-06
96,5.954628241839342e-07
97,6.046498238991247e-07
98,5.809328191783236e-07
99,5.20300542326113e-07
129,1.3727367941744387e-06
130,1.3009578706139724e-06
131,1.352391730958504e-06
132,1.0053886135243418e-06
136,5.205422763489189e-07
137,4.998043181127858e-07
138,3.9854929828172705e-07
139,3.9702543166110815e-07
176,4.330259143625771e-07
177,3.840165988760171e-07
178,3.6843077360385426e-07
179,3.6987948883434055e-07
216,3.9105771232440226e-07
217,4.2279299444462003e-07
218,3.4342197913581863e-07
219,3.1664210761982173e-07
260,3.3624158715512766e-07
261,4.0190638054022245e-07
262,3.933328069690777e-07
263,4.2661381427983666e-07
298,3.6812237318062313e-07
299,3.7245183649505033e-07
300,3.8646024218075504e-07
301,4.3445548041710036e-07
302,4.0319229642451615e-07
303,3.822269290971322e-07
333,4.612118869661258e-07
334,3.8504623885747293e-07
335,3.1949860500129293e-07
336,3.0348473356599496e-07
338,3.2833307732218303e-07
339,3.7300505510550286e-07
340,4.0166454433628413e-07
341,4.4192299329390945e-07
342,4.3670794839477576e-07
343,4.4907822905063423e-07
373,4.2224861987726126e-07
374,3.57961497445126e-07
375,2.9589362132135916e-07
376,2.927402877492675e-07
377,3.8387395357100355e-07
378,3.181232407266247e-07
379,3.3941904747734874e-07
380,4.0936751009843554e-07
381,4.816861348701721e-07
382,4.838731972111047e-07
383,5.177246807269858e-07
384,4.7585981942059353e-07
385,4.173947753301872e-07
413,4.010591023752557e-07
414,3.347914370876238e-07
415,2.8613100311394136e-07
416,2.900601256015968e-07
417,2.939024212093157e-07
418,3.0135403850527656e-07
419,3.398890728477766e-07
420,3.6333911814990175e-07
422,4.92101561677692e-07
423,5.308575286547881e-07
424,4.878125516971548e-07
425,4.378220239325809e-07
453,4.100491263603947e-07
454,2.937251958485998e-07
455,2.726732579495587e-07
456,2.8007828884111636e-07
457,2.9064710016716305e-07
458,3.1138765952355865e-07
459,3.428652384892739e-07
460,3.6804917695967816e-07
462,4.680639880130383e-07
463,4.6933165084019e-07
464,4.774927678644557e-07
465,4.7169548479570725e-07
495,2.62303174376187e-07
496,2.817807266970911e-07
497,2.898853797533544e-07
498,3.111474680538636e-07
499,3.564051428441526e-07
500,3.642796879766527e-07
501,3.9048801527889655e-07
502,4.319359582749806e-07
503,4.6497269117740463e-07
504,4.837070468198052e-07
505,4.4918974262135106e-07
535,2.5786131677988776e-07
536,2.722500334270769e-07
537,2.7361783746798626e-07
540,3.430941035327371e-07
541,3.579126241697409e-07
542,3.8102876402508624e-07
549,3.9722351068420694e-07
550,4.0458843825506057e-07
551,4.229595523607508e-07
552,4.3455598215840996e-07
580,3.1078092027315636e-07
581,3.1717021883730575e-07
582,3.421546481390746e-07
589,4.169102352150148e-07
590,4.066237689292783e-07
591,4.281556515603375e-07
592,4.523584214936378e-07
620,2.857117907809705e-07
621,2.9828448685875484e-07
622,3.1526501152782773e-07
629,4.618784554141072e-07
630,4.217925527554071e-07
631,4.249787935284547e-07
632,4.7198631018584325e-07
657,2.5287145185686794e-07
658,2.6049267321885826e-07
659,2.715274752400548e-07
660,2.809846295984604e-07
664,3.2696997486290527e-07
665,3.3292960957158245e-07
666,3.636639092599894e-07
667,3.362373252690693e-07
669,4.793609699194441e-07
670,5.081651130882252e-07
671,4.421326202208136e-07
672,5.086130093531937e-07
697,2.647043747649877e-07
698,2.6057185015059494e-07
699,2.701592395834454e-07
700,2.7325625023505286e-07
704,2.9610672398125495e-07
705,3.0203567341792314e-07
706,3.095400882193608e-07
707,3.0746940009708414e-07
737,3.104125354149459e-07
738,2.873587884674668e-07
739,2.7775340769378656e-07
740,2.746117976767256e-07
744,2.7834278133612715e-07
745,2.881973107095971e-07
746,3.324872145499514e-07
747,3.1351032751242966e-07
777,3.73411914303868e-07
778,3.2885086401957657e-07
779,3.6767901310364236e-07
780,3.0587241220293166e-07
784,2.7649175444481635e-07
785,2.7702938372872306e-07
786,2.889353561509e-07
787,3.1507142109990584e-07
820,3.161147640686263e-07
821,2.772917582532922e-07
822,2.653274124158531e-07
823,2.680496087083487e-07
860,3.526534296100046e-07
861,3.074666476076702e-07
862,2.7248130639844847e-07
863,2.6980575762715327e-07
870,5.28214394285057e-07
871,5.874498098626108e-07
872,6.373781650490231e-07
873,7.143428417114517e-07
900,4.94635884449109e-07
901,4.073927543772431e-07
902,3.3310583244267706e-07
903,3.4558335163826165e-07
910,6.324811975888383e-07
911,6.102593032422742e-07
912,6.589956353540789e-07
913,8.024435736949481e-07
940,6.981688090840908e-07
941,5.653767447653831e-07
942,4.977021701980224e-07
943,4.156509976834653e-07
950,6.287078080703417e-07
951,6.893080186408278e-07
952,8.147287425976475e-07
953,8.40334887651027e-07
990,7.434174426669063e-07
991,8.222758227870234e-07
992,8.739224390381614e-07
993,9.166081800985545e-07
994,9.390829750773105e-07
995,9.270339230509824e-07
996,1.1093622075075738e-06
997,1.1423455464721689e-06
1024,6.141637874864843e-07
1025,5.433620280538229e-07
1026,5.637333915827773e-07
1027,7.169523669941784e-07
1034,1.0307444896221265e-06
1035,1.1021378005122704e-06
1036,1.2683256414760881e-06
1037,1.3911510767521582e-06
1064,6.444025054577683e-07
1065,6.59562664422558e-07
1066,6.825070223816386e-07
1067,8.518577127464969e-07
1074,1.1939653461090913e-06
1075,1.289109475733424e-06
1076,1.4776440621808405e-06
1077,1.5209257845562125e-06
1104,6.93050706190823e-07
1105,7.989237980016571e-07
1106,8.751835214772587e-07
1107,9.95431289714568e-07
1111,1.1785714886954117e-06
1112,1.1964597798427387e-06
1113,1.3280370302875983e-06
1114,1.426896982085715e-06
1115,1.5142369325631947e-06
1116,1.4731329294491922e-06
1117,1.5073123999258362e-06
1144,8.433502264918404e-07
1145,1.0409831935362028e-06
1146,9.834878155080835e-07
1147,1.0754722868470293e-06
1151,1.3977783655864451e-06
1152,1.4311568027040624e-06
1153,1.5424223157088086e-06
1154,1.6140192909896936e-06
1191,1.3735775897352616e-06
1192,1.5138502287620555e-06
1193,1.5944457703536584e-06
1194,1.5575984722211896e-06
1195,1.4756071301574987e-06
1196,1.4670111985890088e-06
1197,1.5223025173878305e-06
1198,1.696497547019945e-06
1231,1.327041287035388e-06
