trip_id,arrival_time,departure_time,stop_id,stop_sequence,route_id
1001,08:30:00,08:30:00,1000,1,1001
1001,08:33:00,08:33:00,1001,2,1001
1001,08:36:00,08:36:00,1002,3,1001
1001,08:38:00,08:38:00,1003,4,1001
1001,08:40:00,08:40:00,1004,5,1001
1001,08:43:00,08:43:00,1005,6,1001
1001,08:46:00,08:46:00,1006,7,1001
1001,08:48:00,08:48:00,1007,8,1001
1001,08:50:00,08:50:00,1008,9,1001
1001,08:53:00,08:53:00,1009,10,1001
2001,08:00:00,08:30:00,2004,1,1002
2001,08:02:00,08:02:00,2003,2,1002
2001,08:05:00,08:05:00,2002,3,1002
2001,08:08:00,08:08:00,2001,4,1002
2001,08:10:00,08:10:00,2000,5,1002
2001,08:11:00,08:11:00,2005,6,1002
2001,08:13:00,08:13:00,2006,7,1002
2001,08:15:00,08:15:00,2007,8,1002
2001,08:19:00,08:19:00,2008,9,1002
2001,08:22:00,08:22:00,2009,10,1002
1002,09:30:00,09:30:00,1000,1,1001
1002,09:33:00,09:33:00,1001,2,1001
1002,09:36:00,09:36:00,1002,3,1001
1002,09:38:00,09:38:00,1003,4,1001
1002,09:40:00,09:40:00,1004,5,1001
1002,09:43:00,09:43:00,1005,6,1001
1002,09:46:00,09:46:00,1006,7,1001
1002,09:48:00,09:48:00,1007,8,1001
1002,09:50:00,09:50:00,1008,9,1001
1002,09:53:00,09:53:00,1009,10,1001
2002,09:00:00,09:30:00,2004,1,1002
2002,09:02:00,09:02:00,2003,2,1002
2002,09:05:00,09:05:00,2002,3,1002
2002,09:08:00,09:08:00,2001,4,1002
2002,09:10:00,09:10:00,2000,5,1002
2002,09:11:00,09:11:00,2005,6,1002
2002,09:13:00,09:13:00,2006,7,1002
2002,09:15:00,09:15:00,2007,8,1002
2002,09:19:00,09:19:00,2008,9,1002
2002,09:22:00,09:22:00,2009,10,1002
1003,10:30:00,10:30:00,1000,1,1001
1003,10:33:00,10:33:00,1001,2,1001
1003,10:36:00,10:36:00,1002,3,1001
1003,10:38:00,10:38:00,1003,4,1001
1003,10:40:00,10:40:00,1004,5,1001
1003,10:43:00,10:43:00,1005,6,1001
1003,10:46:00,10:46:00,1006,7,1001
1003,10:48:00,10:48:00,1007,8,1001
1003,10:50:00,10:50:00,1008,9,1001
1003,10:53:00,10:53:00,1009,10,1001
2003,10:00:00,10:30:00,2004,1,1002
2003,10:02:00,10:02:00,2003,2,1002
2003,10:05:00,10:05:00,2002,3,1002
2003,10:08:00,10:08:00,2001,4,1002
2003,10:10:00,10:10:00,2000,5,1002
2003,10:11:00,10:11:00,2005,6,1002
2003,10:13:00,10:13:00,2006,7,1002
2003,10:15:00,10:15:00,2007,8,1002
2003,10:19:00,10:19:00,2008,9,1002
2003,10:22:00,10:22:00,2009,10,1002
1004,11:30:00,11:30:00,1000,1,1001
1004,11:33:00,11:33:00,1001,2,1001
1004,11:36:00,11:36:00,1002,3,1001
1004,11:38:00,11:38:00,1003,4,1001
1004,11:40:00,11:40:00,1004,5,1001
1004,11:43:00,11:43:00,1005,6,1001
1004,11:46:00,11:46:00,1006,7,1001
1004,11:48:00,11:48:00,1007,8,1001
1004,11:50:00,11:50:00,1008,9,1001
1004,11:53:00,11:53:00,1009,10,1001
2004,11:00:00,11:30:00,2004,1,1002
2004,11:02:00,11:02:00,2003,2,1002
2004,11:05:00,11:05:00,2002,3,1002
2004,11:08:00,11:08:00,2001,4,1002
2004,11:10:00,11:10:00,2000,5,1002
2004,11:11:00,11:11:00,2005,6,1002
2004,11:13:00,11:13:00,2006,7,1002
2004,11:15:00,11:15:00,2007,8,1002
2004,11:19:00,11:19:00,2008,9,1002
2004,11:22:00,11:22:00,2009,10,1002
1005,12:30:00,12:30:00,1000,1,1001
1005,12:33:00,12:33:00,1001,2,1001
1005,12:36:00,12:36:00,1002,3,1001
1005,12:38:00,12:38:00,1003,4,1001
1005,12:40:00,12:40:00,1004,5,1001
1005,12:43:00,12:43:00,1005,6,1001
