stop_id,longitude,latitude
2009,104.90436,11.58732
2008,104.90451,11.58423
2007,104.90454,11.58084
2006,104.90428,11.57714
2005,104.90504,11.57472
2004,104.90866,11.55612
2003,104.90806,11.55982
2002,104.9072,11.56445
2001,104.90668,11.56789
2000,104.90565,11.57025
1009,104.8822,11.56857
1008,104.88825,11.56929
1007,104.89298,11.56966
1006,104.89894,11.56967
1005,104.90263,11.57017
1004,104.90769,11.57055
1003,104.91265,11.57109
1002,104.91816,11.57169
1000,104.92855,11.57332
1001,104.9237,11.57257
