stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id
2009,11.58732,104.90436,b9,,2009
2008,11.58423,104.90451,b8,,2008
2007,11.58084,104.90454,b7,,2007
2006,11.57714,104.90428,b6,,2006
2005,11.57472,104.90504,b5,,2005
2004,11.55612,104.90866,b4,,2004
2003,11.55982,104.90806,b3,,2003
2002,11.56445,104.9072,b2,,2002
2001,11.56789,104.90668,b1,,2001
2000,11.57025,104.90565,b0,1,2000
1009,11.56857,104.8822,a9,,1009
1008,11.56929,104.88825,a8,,1008
1007,11.56966,104.89298,a7,,1007
1006,11.56967,104.89894,a6,,1006
1005,11.57017,104.90263,a5,,1005
1004,11.57055,104.90769,a4,,1004
1003,11.57109,104.91265,a3,,1003
1002,11.57169,104.91816,a2,,1002
1000,11.57332,104.92855,a0,,1000
1001,11.57257,104.9237,a1,,1001
